1,Сетевой маршрутизатор,"",ИП Иванов И.И.,CATA-1001,212334.80,EUR,2025-06-03,CPT
2,Промышленный коммутатор,"",ООО 'Поставщик',CATA-1002,416163.20,EUR,2025-06-03,EXW
3,Бесперебойник,"",ООО 'Поставщик',CATA-1003,411988.09,USD,2025-06-03,EXW
4,Сервер,"",ЗАО 'Инжиниринг',CATA-1004,458922.56,USD,2025-06-03,EXW
5,Ноутбук,"",ООО 'Поставщик',CATA-1005,253226.67,EUR,2025-06-03,EXW
6,Сетевой накопитель,"",ООО 'Комплектующие',CATA-1006,380540.23,USD,2025-06-03,EXW
7,IP-камера,"",ИП Иванов И.И.,CATA-1007,138110.06,USD,2025-06-03,DAP
8,3D-принтер,"",ИП Иванов И.И.,CATA-1008,282967.62,USD,2025-06-03,CPT
9,Точка доступа Wi-Fi,"",ООО 'Поставщик',CATA-1009,329148.33,RUB,2025-06-03,EXW
10,Сетевой адаптер,"",ООО 'Комплектующие',CATA-1010,178183.42,EUR,2025-06-03,EXW
11,Внешний SSD,"",ИП Иванов И.И.,CATA-1011,302873.92,RUB,2025-06-03,EXW
12,Монитор,"",ЗАО 'Инжиниринг',CATA-1012,326824.35,USD,2025-06-03,EXW
13,Планшет,"",ООО 'Комплектующие',CATA-1013,100190.15,EUR,2025-06-03,CPT
14,Принтер лазерный,"",ЗАО 'Инжиниринг',CATA-1014,32269.98,USD,2025-06-03,EXW
15,Шкаф серверный,"",ИП Иванов И.И.,CATA-1015,207776.56,EUR,2025-06-03,DAP
16,Микроконтроллер,"",ИП Иванов И.И.,CATA-1016,278908.32,EUR,2025-06-03,DAP
17,Клавиатура механическая,"",ИП Иванов И.И.,CATA-1017,460041.19,EUR,2025-06-03,DAP
18,ИБП для серверов,"",ИП Иванов И.И.,CATA-1018,424706.19,EUR,2025-06-03,CPT
19,Промышленный компьютер,"",ЗАО 'Инжиниринг',CATA-1019,66748.12,RUB,2025-06-03,CPT
20,Графическая станция,"",ООО 'Поставщик',CATA-1020,192847.43,EUR,2025-06-03,DAP
21,Электронный микроскоп,"",ООО 'Научные Приборы',CATA-2001,450000.00,USD,2024-01-01,CPT
22,Газовый хроматограф,"",ЗАО 'Аналитика',CATA-2002,320000.00,USD,2024-01-02,DAP
23,Инкубатор CO2,"",ИП Петров П.П.,CATA-2003,150000.00,EUR,2024-01-03,EXW
24,Реактор лабораторный,"",ООО 'Реактивторг',CATA-2004,85000.00,USD,2024-01-04,CPT
25,Автоклав лабораторный,"",ЗАО 'Инжиниринг',CATA-2005,99000.00,EUR,2024-01-05,DAP
26,Спектрофотометр UV-Vis,"",ИП Сидоров С.С.,CATA-2006,60000.00,USD,2024-01-06,EXW
27,Весы аналитические,"",ООО 'Научные Весы',CATA-2007,15000.00,EUR,2024-01-07,CPT
28,Пробоотборник автоматический,"",ЗАО 'Аналитприбор',CATA-2008,200000.00,USD,2024-01-08,DAP
29,Анализатор жидкости,"",ИП Кузнецов К.К.,CATA-2009,500000.00,EUR,2024-01-09,EXW
30,Термостат лабораторный,"",ООО 'Лабораторные Технологии',CATA-2010,22000.00,USD,2024-01-10,CPT
31,Робот-пипетировщик,"",ЗАО 'РобоЛаб',CATA-2011,450000.00,USD,2024-01-11,DAP
32,Центрифуга лабораторная,"",ИП Павлов П.П.,CATA-2012,32000.00,EUR,2024-01-12,EXW
33,Ламинарный бокс,"",ООО 'Биобезопасность',CATA-2013,90000.00,USD,2024-01-13,CPT
34,Анализатор массы,"",ЗАО 'Аналитика',CATA-2014,28000.00,EUR,2024-01-14,DAP
35,Измеритель влажности,"",ИП Иванова А.А.,CATA-2015,25000.00,USD,2024-01-15,EXW
36,Электропечь лабораторная,"",ООО 'ТехноПечь',CATA-2016,120000.00,EUR,2024-01-16,CPT
37,Рефрактометр цифровой,"",ЗАО 'Оптика',CATA-2017,38000.00,USD,2024-01-17,DAP
38,Анализатор качества воды,"",ИП Волков В.В.,CATA-2018,56000.00,EUR,2024-01-18,EXW
39,Потенциостат,"",ООО 'Электрохимия',CATA-2019,150000.00,USD,2024-01-19,CPT
40,Люминометр,"",ЗАО 'Медика',CATA-2020,72000.00,EUR,2024-01-20,DAP
41,Дифференциальный сканирующий калориметр,"",ИП Захаров З.З.,CATA-2021,210000.00,USD,2024-01-21,EXW
42,Пирометр,"",ООО 'Температура',CATA-2022,35000.00,EUR,2024-01-22,CPT
43,Планетарная мельница,"",ЗАО 'Гранулометрия',CATA-2023,270000.00,USD,2024-01-23,DAP
44,Гомогенизатор,"",ИП Смирнов С.С.,CATA-2024,52000.00,EUR,2024-01-24,EXW
45,Печь муфельная,"",ООО 'Лаборприбор',CATA-2025,66000.00,USD,2024-01-25,CPT
